Secteur d'activité;Année;Trimestre;Dernier jour du trimestre;Immatriculations;Radiations;Economiquement actifs;Administrativement actifs;Chiffres d'affaires
HZ1 - Taxis - VTC;2023;3;2023-09-30;2003.0;669.0;14272.0;28717.0;69158036.0
S2 - Coiffure et soins du corps;2023;3;2023-09-30;6213.0;2017.0;80540.0;116320.0;256376789.0
F1 - BTP gros-oeuvre;2023;4;2023-12-31;3893.0;8631.8771902;46569.0;78330.0;336400603.0
F2 - BTP travaux d'installation;2023;4;2023-12-31;4021.0;8233.3279881;43890.0;70540.0;363183602.0
G2 - Commerce de gros, intermédiaires du commerce;2023;4;2023-12-31;2910.0;11050.732858;29249.0;61682.0;201934433.0
G3 - Commerce de détail alimentaire hors métiers de bouche;2023;4;2023-12-31;255.0;890.68257157;2962.0;5493.0;19456700.0
G6 - Commerce de détail non spécialisé;2023;4;2023-12-31;9409.0;15439.368448;42232.0;91997.0;195387634.0
M5 - Autres activités scientifiques et techniques;2023;4;2023-12-31;6445.0;12214.181019;60791.0;110345.0;313986429.0
PZ - Enseignement;2023;4;2023-12-31;8072.0;14031.691964;93782.0;147681.0;392671197.0
UZ - Autres;2023;4;2023-12-31;4.0;3.0;43.0;80.0;195668.0
G2 - Commerce de gros, intermédiaires du commerce;2024;1;2024-03-31;4072.0;1756.0;27329.0;63998.0;172538519.0
UZ - Autres;2024;2;2024-06-30;8.0;4.0;37.0;91.0;135699.0
R1 - Arts, spectacles et autres activités récréatives;2024;3;2024-09-30;7928.0;1728.0;73938.0;148323.0;268631555.0
HZ4 - Autres activités de transports et entreposage;2024;4;2024-12-31;559.0;981.19303797;2864.0;6933.0;12731309.0
F3 - BTP travaux de finition;2009;1;2009-03-31;3938.0;39.0;945.0;3899.0;4293842.0
N2 - Autres activités de service administratif et de soutien;2009;1;2009-03-31;3910.0;37.0;616.0;3873.0;1986185.0
HZ1 - Taxis - VTC;2009;2;2009-06-30;134.0;9.0;63.0;220.0;226238.0
F1 - BTP gros-oeuvre;2009;3;2009-09-30;2990.0;173.0;3311.0;8776.0;13655326.0
G5 - Commerce de détail sur marchés non classé ailleurs;2009;3;2009-09-30;3661.0;499.0;6686.0;12950.0;19020253.0
N1 - Activités de nettoyage;2009;3;2009-09-30;1504.0;89.0;1747.0;4299.0;4766586.0
N2 - Autres activités de service administratif et de soutien;2009;3;2009-09-30;4348.0;411.0;4745.0;12565.0;15266828.0
QZ - Santé;2009;3;2009-09-30;2166.0;138.0;2909.0;5923.0;5243605.0
CZ1 - Industrie;2009;4;2009-12-31;3681.0;523.0;7147.0;13906.0;20980592.0
HZ3 - Activités de poste et de courrier;2009;4;2009-12-31;116.0;27.0;113.0;328.0;303276.0
N2 - Autres activités de service administratif et de soutien;2009;4;2009-12-31;4596.0;1008.0;6343.0;16153.0;20165474.0
S2 - Coiffure et soins du corps;2009;4;2009-12-31;4625.0;625.0;8355.0;14255.0;18725990.0
G3 - Commerce de détail alimentaire hors métiers de bouche;2010;1;2010-03-31;434.0;68.0;618.0;1419.0;2820344.0
KZ - Activités financières et d'assurance;2010;1;2010-03-31;863.0;124.0;997.0;2616.0;3833564.0
M2 - Activités comptables, de conseil et d'ingénierie;2010;1;2010-03-31;4920.0;341.0;6004.0;14405.0;26246804.0
PZ - Enseignement;2010;1;2010-03-31;6964.0;407.0;11356.0;22387.0;33976595.0
IZ1 - Hébergement;2010;2;2010-06-30;404.0;44.0;1990.0;2689.0;9979898.0
PZ - Enseignement;2010;2;2010-06-30;3930.0;552.0;13569.0;25765.0;40888789.0
AZ - Agriculture, sylviculture et pêche;2010;3;2010-09-30;122.0;31.0;637.0;1217.0;2058308.0
G6 - Commerce de détail non spécialisé;2010;3;2010-09-30;3513.0;1347.0;10225.0;28141.0;31333840.0
M2 - Activités comptables, de conseil et d'ingénierie;2010;4;2010-12-31;2770.0;1680.0;9568.0;20056.0;45437963.0
R2 - Activités sportives;2010;4;2010-12-31;1611.0;629.0;6392.0;11419.0;16298662.0
N1 - Activités de nettoyage;2011;1;2011-03-31;2133.0;621.0;6601.0;13940.0;17181641.0
N2 - Autres activités de service administratif et de soutien;2011;1;2011-03-31;4355.0;2045.0;13911.0;31965.0;43328071.0
F3 - BTP travaux de finition;2011;2;2011-06-30;5193.0;3722.0;21533.0;45508.0;107643650.0
M4 - Activités spécialisées de design, graphisme et d'infographie;2011;2;2011-06-30;2256.0;1933.0;9561.0;22214.0;33020295.0
JZ - Informatique, information et communication;2011;3;2011-09-30;3499.0;2588.0;13723.0;34612.0;44383770.0
M2 - Activités comptables, de conseil et d'ingénierie;2011;3;2011-09-30;2432.0;1495.0;11003.0;23655.0;47943459.0
F1 - BTP gros-oeuvre;2011;4;2011-12-31;2822.0;2701.0;14129.0;30147.0;67149444.0
G4 - Commerce de détail non alimentaire (hors pharmacie);2011;4;2011-12-31;3053.0;3043.0;16238.0;31424.0;66122945.0
M1 - Activités juridiques;2011;4;2011-12-31;147.0;316.0;781.0;1013.0;4312303.0
M3 - Conseil pour les affaires et autres conseils de gestion;2011;4;2011-12-31;3277.0;4778.0;18205.0;37176.0;90614183.0
G2 - Commerce de gros, intermédiaires du commerce;2012;2;2012-06-30;2570.0;1735.0;8178.0;20229.0;37831920.0
IZ1 - Hébergement;2012;2;2012-06-30;390.0;100.0;3288.0;4185.0;17728582.0
M3 - Conseil pour les affaires et autres conseils de gestion;2012;2;2012-06-30;3381.0;2859.0;18456.0;39579.0;84709812.0
F1 - BTP gros-oeuvre;2012;3;2012-09-30;3114.0;2076.0;17443.0;34927.0;76218593.0
S1 - Réparations hors automobile;2012;3;2012-09-30;1469.0;1280.0;12618.0;21109.0;33023594.0
F1 - BTP gros-oeuvre;2012;4;2012-12-31;2989.0;3622.0;17486.0;34294.0;80279519.0
HZ3 - Activités de poste et de courrier;2012;4;2012-12-31;134.0;166.0;360.0;966.0;1181694.0
PZ - Enseignement;2012;4;2012-12-31;4134.0;4138.0;29635.0;45841.0;98720261.0
CZ1 - Industrie;2013;1;2013-03-31;4393.0;1715.0;26863.0;44173.0;71019705.0
F1 - BTP gros-oeuvre;2013;1;2013-03-31;4058.0;1871.0;18251.0;36481.0;70192149.0
HZ4 - Autres activités de transports et entreposage;2013;2;2013-06-30;549.0;288.0;1354.0;3265.0;4153683.0
S2 - Coiffure et soins du corps;2013;2;2013-06-30;3396.0;2557.0;34114.0;46045.0;81178575.0
F2 - BTP travaux d'installation;2013;4;2013-12-31;2550.0;3004.0;17988.0;30632.0;93260123.0
JZ - Informatique, information et communication;2013;4;2013-12-31;3556.0;4251.0;20004.0;40339.0;67035810.0
LZ - Activités immobilières;2013;4;2013-12-31;1265.0;1461.0;5621.0;11244.0;27401543.0
M1 - Activités juridiques;2013;4;2013-12-31;113.0;198.0;854.0;1254.0;5624416.0
KZ - Activités financières et d'assurance;2014;1;2014-03-31;675.0;384.0;2313.0;4783.0;8985590.0
G2 - Commerce de gros, intermédiaires du commerce;2014;2;2014-06-30;2341.0;2061.0;10618.0;23402.0;46160778.0
HZ2 - Transports routier de fret et déménagement;2014;2;2014-06-30;218.0;150.0;740.0;1598.0;2255644.0
KZ - Activités financières et d'assurance;2014;2;2014-06-30;556.0;449.0;2344.0;4890.0;8692494.0
F2 - BTP travaux d'installation;2014;3;2014-09-30;2276.0;1875.0;19199.0;33667.0;88941940.0
JZ - Informatique, information et communication;2014;3;2014-09-30;3428.0;2895.0;19914.0;42581.0;58608231.0
G1 - Commerce-réparation d'automobiles;2015;1;2015-03-31;2966.0;1272.0;12002.0;25870.0;46352891.0
N2 - Autres activités de service administratif et de soutien;2015;1;2015-03-31;3635.0;1565.0;21344.0;38706.0;64234312.0
M4 - Activités spécialisées de design, graphisme et d'infographie;2015;3;2015-09-30;1801.0;937.0;14468.0;29321.0;43351574.0
PZ - Enseignement;2015;3;2015-09-30;4828.0;2174.0;36373.0;63596.0;81969647.0
LZ - Activités immobilières;2015;4;2015-12-31;1634.0;2609.0;7278.0;14157.0;38825996.0
HZ1 - Taxis - VTC;2016;2;2016-06-30;1339.0;457.0;2916.0;9343.0;9975166.0
M4 - Activités spécialisées de design, graphisme et d'infographie;2016;2;2016-06-30;2053.0;868.0;15720.0;29782.0;53245021.0
QZ - Santé;2016;3;2016-09-30;3926.0;1345.0;42529.0;57057.0;92195349.0
UZ - Autres;2016;3;2016-09-30;2.0;4.0;32.0;53.0;105400.0
UZ - Autres;2016;4;2016-12-31;2.0;2.0;37.0;53.0;109353.0
AZ - Agriculture, sylviculture et pêche;2017;1;2017-03-31;178.0;57.0;1525.0;2384.0;4394741.0
F3 - BTP travaux de finition;2017;1;2017-03-31;5452.0;1701.0;43018.0;71280.0;197977515.0
N2 - Autres activités de service administratif et de soutien;2017;1;2017-03-31;3497.0;1219.0;23089.0;39084.0;74300181.0
R2 - Activités sportives;2017;1;2017-03-31;2531.0;654.0;21137.0;31706.0;60771935.0
UZ - Autres;2017;1;2017-03-31;3.0;2.0;39.0;54.0;101892.0
G1 - Commerce-réparation d'automobiles;2017;2;2017-06-30;2367.0;1141.0;14169.0;29016.0;60896863.0
CZ2 - Métiers de bouche;2017;3;2017-09-30;1112.0;782.0;12512.0;20642.0;51055267.0
G5 - Commerce de détail sur marchés non classé ailleurs;2017;4;2017-12-31;1648.0;5278.0;29860.0;45954.0;73948374.0
IZ2 - Restauration et débits de boissons;2017;4;2017-12-31;2316.0;4224.0;16981.0;29882.0;83046088.0
N2 - Autres activités de service administratif et de soutien;2017;4;2017-12-31;2931.0;5411.0;25793.0;39563.0;93430884.0
UZ - Autres;2018;1;2018-03-31;7.0;1.0;37.0;52.0;91314.0
LZ - Activités immobilières;2018;2;2018-06-30;2994.0;1098.0;11298.0;25718.0;72571060.0
R2 - Activités sportives;2018;2;2018-06-30;1982.0;799.0;24859.0;36705.0;71831073.0
IZ2 - Restauration et débits de boissons;2018;3;2018-09-30;2831.0;1752.0;20201.0;35786.0;131521438.0
M3 - Conseil pour les affaires et autres conseils de gestion;2018;3;2018-09-30;8876.0;4444.0;34538.0;80829.0;162175225.0
F2 - BTP travaux d'installation;2018;4;2018-12-31;2258.0;4006.0;26905.0;38299.0;200331954.0
G3 - Commerce de détail alimentaire hors métiers de bouche;2018;4;2018-12-31;300.0;550.0;2047.0;3242.0;12216168.0
HZ4 - Autres activités de transports et entreposage;2019;1;2019-03-31;362.0;129.0;1659.0;3650.0;6155303.0
M2 - Activités comptables, de conseil et d'ingénierie;2019;1;2019-03-31;6648.0;1981.0;27750.0;51853.0;141606932.0
N2 - Autres activités de service administratif et de soutien;2019;1;2019-03-31;5362.0;1512.0;29009.0;48447.0;107174595.0
S2 - Coiffure et soins du corps;2019;1;2019-03-31;4535.0;1242.0;47780.0;59609.0;131819082.0
CZ1 - Industrie;2019;2;2019-06-30;5850.0;1445.0;51423.0;77372.0;180021627.0
IZ1 - Hébergement;2019;2;2019-06-30;750.0;189.0;7605.0;9289.0;47724948.0
UZ - Autres;2019;2;2019-06-30;3.0;1.0;34.0;57.0;92617.0
HZ1 - Taxis - VTC;2019;3;2019-09-30;1753.0;703.0;10334.0;19572.0;55760626.0
F3 - BTP travaux de finition;2020;4;2020-12-31;5364.0;7724.0;65174.0;96417.0;481015992.0
IZ1 - Hébergement;2020;4;2020-12-31;524.0;656.0;6531.0;10645.0;20550743.0
F2 - BTP travaux d'installation;2021;3;2021-09-30;3554.0;1402.0;37831.0;63061.0;275420128.0
HZ1 - Taxis - VTC;2021;3;2021-09-30;1592.0;711.0;12056.0;24503.0;54642074.0
S3 - Autres services personnels;2021;4;2021-12-31;9899.0;10249.0;71667.0;108260.0;215860180.0
M3 - Conseil pour les affaires et autres conseils de gestion;2022;1;2022-03-31;18675.0;4945.0;62784.0;142635.0;400147751.0
G6 - Commerce de détail non spécialisé;2022;2;2022-06-30;5977.0;2564.0;34877.0;81623.0;147348288.0
M4 - Activités spécialisées de design, graphisme et d'infographie;2022;2;2022-06-30;4860.0;1320.0;36038.0;70010.0;175181184.0
M2 - Activités comptables, de conseil et d'ingénierie;2022;3;2022-09-30;7327.0;2976.0;44042.0;95872.0;248568546.0
S3 - Autres services personnels;2022;3;2022-09-30;11223.0;3075.0;81904.0;136824.0;232124537.0
HZ3 - Activités de poste et de courrier;2023;2;2023-06-30;12869.0;3496.0;34009.0;205657.0;45804464.0
PZ - Enseignement;2023;2;2023-06-30;6297.0;2859.0;89032.0;146262.0;349556865.0
F1 - BTP gros-oeuvre;2023;3;2023-09-30;3630.0;1244.0;45620.0;83069.0;304722369.0
HZ3 - Activités de poste et de courrier;2023;3;2023-09-30;14264.0;3319.0;33581.0;216602.0;44397921.0
JZ - Informatique, information et communication;2023;3;2023-09-30;10371.0;3112.0;56164.0;132210.0;405790551.0
N2 - Autres activités de service administratif et de soutien;2023;3;2023-09-30;8745.0;2218.0;52238.0;100148.0;233549160.0
M1 - Activités juridiques;2023;4;2023-12-31;142.0;276.40540541;1583.0;2225.0;15200269.0
R1 - Arts, spectacles et autres activités récréatives;2024;1;2024-03-31;9721.0;1920.0;70327.0;135873.0;233388720.0
M2 - Activités comptables, de conseil et d'ingénierie;2024;2;2024-06-30;5507.0;2074.0;48127.0;106007.0;314180031.0
M3 - Conseil pour les affaires et autres conseils de gestion;2024;2;2024-06-30;10094.0;4086.0;67836.0;177999.0;495018360.0
CZ2 - Métiers de bouche;2024;3;2024-09-30;1867.0;714.0;19617.0;35166.0;104223636.0
M2 - Activités comptables, de conseil et d'ingénierie;2024;3;2024-09-30;5418.0;1763.0;46962.0;109662.0;287688257.0
CZ2 - Métiers de bouche;2009;1;2009-03-31;1580.0;16.0;552.0;1564.0;2678114.0
QZ - Santé;2009;2;2009-06-30;2079.0;64.0;1484.0;3895.0;3540293.0
F2 - BTP travaux d'installation;2009;3;2009-09-30;2611.0;139.0;2762.0;7039.0;11400406.0
IZ2 - Restauration et débits de boissons;2009;3;2009-09-30;1842.0;393.0;2667.0;5710.0;19903831.0
R1 - Arts, spectacles et autres activités récréatives;2009;3;2009-09-30;3733.0;204.0;4394.0;11480.0;11105511.0
G6 - Commerce de détail non spécialisé;2009;4;2009-12-31;4825.0;966.0;5983.0;16179.0;20338901.0
F2 - BTP travaux d'installation;2010;1;2010-03-31;5322.0;443.0;5838.0;14675.0;23941148.0
G5 - Commerce de détail sur marchés non classé ailleurs;2010;1;2010-03-31;10571.0;633.0;12520.0;25311.0;24772875.0
M4 - Activités spécialisées de design, graphisme et d'infographie;2010;1;2010-03-31;4111.0;358.0;5190.0;14521.0;15447131.0
M5 - Autres activités scientifiques et techniques;2010;1;2010-03-31;6119.0;437.0;7497.0;18939.0;24079604.0
F2 - BTP travaux d'installation;2010;3;2010-09-30;2795.0;599.0;8350.0;19866.0;39261847.0
IZ2 - Restauration et débits de boissons;2010;3;2010-09-30;1868.0;768.0;6541.0;13635.0;42911682.0
N1 - Activités de nettoyage;2010;3;2010-09-30;1554.0;355.0;5382.0;11550.0;15326567.0
F2 - BTP travaux d'installation;2011;1;2011-03-31;3454.0;1175.0;10334.0;23594.0;48493669.0
UZ - Autres;2011;1;2011-03-31;11.0;3.0;50.0;135.0;159185.0
CZ2 - Métiers de bouche;2011;2;2011-06-30;1656.0;1306.0;6358.0;12354.0;25628660.0
G3 - Commerce de détail alimentaire hors métiers de bouche;2011;2;2011-06-30;295.0;216.0;1033.0;2098.0;5447896.0
N2 - Autres activités de service administratif et de soutien;2011;2;2011-06-30;3672.0;3374.0;15077.0;32263.0;51286665.0
R2 - Activités sportives;2011;2;2011-06-30;1290.0;731.0;7800.0;13137.0;21443722.0
HZ3 - Activités de poste et de courrier;2011;3;2011-09-30;100.0;72.0;277.0;905.0;802821.0
HZ3 - Activités de poste et de courrier;2011;4;2011-12-31;104.0;102.0;295.0;907.0;1062956.0
JZ - Informatique, information et communication;2011;4;2011-12-31;3764.0;3735.0;15299.0;34641.0;55089604.0
QZ - Santé;2011;4;2011-12-31;2582.0;1599.0;16592.0;23076.0;40488046.0
LZ - Activités immobilières;2012;1;2012-03-31;1775.0;743.0;4115.0;9970.0;20254726.0
CZ1 - Industrie;2012;2;2012-06-30;3940.0;1798.0;24654.0;40219.0;77618343.0
HZ1 - Taxis - VTC;2012;2;2012-06-30;237.0;116.0;768.0;1670.0;2553384.0
JZ - Informatique, information et communication;2012;2;2012-06-30;3813.0;2697.0;16366.0;37966.0;55531103.0
R2 - Activités sportives;2012;2;2012-06-30;1597.0;753.0;10926.0;17387.0;29266380.0
M3 - Conseil pour les affaires et autres conseils de gestion;2012;3;2012-09-30;3089.0;2916.0;18008.0;39752.0;74706800.0
S2 - Coiffure et soins du corps;2012;4;2012-12-31;3978.0;3816.0;31306.0;43095.0;76514521.0
UZ - Autres;2012;4;2012-12-31;8.0;20.0;47.0;82.0;166932.0
F2 - BTP travaux d'installation;2013;1;2013-03-31;3473.0;1666.0;16125.0;29706.0;73602910.0
M4 - Activités spécialisées de design, graphisme et d'infographie;2013;1;2013-03-31;2447.0;1472.0;12448.0;24936.0;36837297.0
G3 - Commerce de détail alimentaire hors métiers de bouche;2013;2;2013-06-30;337.0;200.0;1393.0;2389.0;6289884.0
R2 - Activités sportives;2013;2;2013-06-30;1648.0;907.0;14185.0;21054.0;36471175.0
G3 - Commerce de détail alimentaire hors métiers de bouche;2013;4;2013-12-31;281.0;254.0;1420.0;2481.0;7501213.0
KZ - Activités financières et d'assurance;2013;4;2013-12-31;549.0;690.0;2429.0;4492.0;10256444.0
S2 - Coiffure et soins du corps;2014;1;2014-03-31;3980.0;2181.0;35920.0;48611.0;77957085.0
G4 - Commerce de détail non alimentaire (hors pharmacie);2014;2;2014-06-30;3724.0;2843.0;23251.0;39537.0;81325394.0
G4 - Commerce de détail non alimentaire (hors pharmacie);2014;3;2014-09-30;2926.0;2750.0;23995.0;39713.0;89253037.0
G5 - Commerce de détail sur marchés non classé ailleurs;2014;3;2014-09-30;2567.0;2352.0;30416.0;46658.0;67206222.0
HZ3 - Activités de poste et de courrier;2014;4;2014-12-31;321.0;226.0;530.0;1584.0;1409335.0
AZ - Agriculture, sylviculture et pêche;2015;1;2015-03-31;189.0;61.0;1372.0;2224.0;3883955.0
IZ1 - Hébergement;2015;1;2015-03-31;408.0;110.0;3572.0;5630.0;11076482.0
M2 - Activités comptables, de conseil et d'ingénierie;2015;1;2015-03-31;4142.0;1417.0;17983.0;35422.0;71603407.0
N2 - Autres activités de service administratif et de soutien;2015;2;2015-06-30;2721.0;1546.0;22889.0;39881.0;74733052.0
UZ - Autres;2015;2;2015-06-30;3.0;3.0;40.0;66.0;151506.0
S3 - Autres services personnels;2015;3;2015-09-30;2333.0;1452.0;25208.0;40673.0;59901122.0
G3 - Commerce de détail alimentaire hors métiers de bouche;2015;4;2015-12-31;238.0;547.0;1682.0;2769.0;7832580.0
M5 - Autres activités scientifiques et techniques;2015;4;2015-12-31;3519.0;8283.0;28986.0;48549.0;100469644.0
R1 - Arts, spectacles et autres activités récréatives;2015;4;2015-12-31;3776.0;7855.0;31242.0;53552.0;77864202.0
UZ - Autres;2015;4;2015-12-31;3.0;16.0;37.0;51.0;88386.0
UZ - Autres;2016;1;2016-03-31;5.0;2.0;35.0;54.0;106133.0
AZ - Agriculture, sylviculture et pêche;2016;2;2016-06-30;124.0;67.0;1545.0;2383.0;4807290.0
QZ - Santé;2016;2;2016-06-30;3418.0;1147.0;41962.0;54476.0;112329306.0
JZ - Informatique, information et communication;2016;3;2016-09-30;3305.0;1820.0;21455.0;46036.0;69259580.0
LZ - Activités immobilières;2016;3;2016-09-30;1578.0;808.0;8224.0;17613.0;47736202.0
M3 - Conseil pour les affaires et autres conseils de gestion;2016;3;2016-09-30;4983.0;2461.0;24743.0;54591.0;99111648.0
IZ2 - Restauration et débits de boissons;2016;4;2016-12-31;2437.0;4484.0;15977.0;27107.0;74083207.0
F2 - BTP travaux d'installation;2017;1;2017-03-31;3007.0;1027.0;21575.0;34726.0;114221501.0
F2 - BTP travaux d'installation;2017;2;2017-06-30;2125.0;1004.0;22143.0;35847.0;123589709.0
G4 - Commerce de détail non alimentaire (hors pharmacie);2017;2;2017-06-30;3113.0;1475.0;25655.0;42633.0;96869563.0
M3 - Conseil pour les affaires et autres conseils de gestion;2017;2;2017-06-30;6928.0;2671.0;27483.0;60283.0;120282578.0
S2 - Coiffure et soins du corps;2017;2;2017-06-30;2527.0;1243.0;41321.0;51992.0;113239225.0
HZ4 - Autres activités de transports et entreposage;2017;3;2017-09-30;297.0;169.0;1600.0;4101.0;5052018.0
F2 - BTP travaux d'installation;2017;4;2017-12-31;1969.0;4264.0;23619.0;34543.0;155534382.0
N1 - Activités de nettoyage;2017;4;2017-12-31;2302.0;3734.0;22819.0;34027.0;79668833.0
G2 - Commerce de gros, intermédiaires du commerce;2018;1;2018-03-31;4735.0;1395.0;15359.0;34034.0;87490938.0
G6 - Commerce de détail non spécialisé;2018;1;2018-03-31;4562.0;1454.0;18767.0;35135.0;70683282.0
F1 - BTP gros-oeuvre;2018;2;2018-06-30;3163.0;998.0;29598.0;49452.0;167792607.0
F3 - BTP travaux de finition;2018;2;2018-06-30;4750.0;1468.0;49161.0;78242.0;282088005.0
G1 - Commerce-réparation d'automobiles;2018;2;2018-06-30;2926.0;1233.0;15640.0;31805.0;74584579.0
G3 - Commerce de détail alimentaire hors métiers de bouche;2018;2;2018-06-30;361.0;153.0;1974.0;3370.0;10660825.0
G5 - Commerce de détail sur marchés non classé ailleurs;2018;2;2018-06-30;2321.0;983.0;32010.0;49184.0;74911425.0
CZ2 - Métiers de bouche;2018;3;2018-09-30;1185.0;771.0;13249.0;21689.0;58866136.0
F2 - BTP travaux d'installation;2018;3;2018-09-30;2169.0;922.0;25229.0;40047.0;158579325.0
LZ - Activités immobilières;2018;3;2018-09-30;2876.0;1189.0;12382.0;27405.0;89686465.0
M1 - Activités juridiques;2018;3;2018-09-30;82.0;40.0;888.0;1370.0;6021110.0
CZ1 - Industrie;2018;4;2018-12-31;3913.0;6121.0;49252.0;68104.0;173998589.0
M3 - Conseil pour les affaires et autres conseils de gestion;2018;4;2018-12-31;9976.0;12446.0;39313.0;78359.0;216345564.0
PZ - Enseignement;2018;4;2018-12-31;5911.0;7474.0;55943.0;80208.0;199959521.0
S2 - Coiffure et soins du corps;2018;4;2018-12-31;2980.0;4105.0;46862.0;56316.0;138747200.0
F3 - BTP travaux de finition;2019;2;2019-06-30;5339.0;1564.0;55256.0;85172.0;348166602.0
G2 - Commerce de gros, intermédiaires du commerce;2019;2;2019-06-30;4014.0;1511.0;19966.0;42630.0;127111370.0
HZ4 - Autres activités de transports et entreposage;2019;2;2019-06-30;361.0;151.0;1829.0;3860.0;7159578.0
LZ - Activités immobilières;2019;2;2019-06-30;3741.0;1282.0;14839.0;33138.0;107663912.0
CZ1 - Industrie;2019;3;2019-09-30;6152.0;1551.0;53073.0;81973.0;182258258.0
G2 - Commerce de gros, intermédiaires du commerce;2019;3;2019-09-30;3904.0;1654.0;21190.0;44880.0;146290125.0
G5 - Commerce de détail sur marchés non classé ailleurs;2020;1;2020-03-31;2794.0;730.0;24365.0;50247.0;50472368.0
HZ1 - Taxis - VTC;2020;1;2020-03-31;2236.0;698.0;10683.0;20985.0;43990190.0
KZ - Activités financières et d'assurance;2020;1;2020-03-31;1155.0;366.0;4937.0;10219.0;29890084.0
M2 - Activités comptables, de conseil et d'ingénierie;2020;1;2020-03-31;6370.0;2112.0;30578.0;62171.0;156588181.0
HZ2 - Transports routier de fret et déménagement;2020;2;2020-06-30;465.0;138.0;1779.0;4880.0;4747429.0
G5 - Commerce de détail sur marchés non classé ailleurs;2009;1;2009-03-31;4705.0;45.0;1786.0;4662.0;6601858.0
HZ2 - Transports routier de fret et déménagement;2009;1;2009-03-31;156.0;9.0;35.0;147.0;126106.0
IZ2 - Restauration et débits de boissons;2009;1;2009-03-31;1978.0;19.0;769.0;1959.0;5399869.0
R2 - Activités sportives;2009;1;2009-03-31;758.0;8.0;103.0;750.0;236195.0
S2 - Coiffure et soins du corps;2009;1;2009-03-31;3954.0;31.0;1900.0;3923.0;6378307.0
S3 - Autres services personnels;2009;1;2009-03-31;3440.0;25.0;726.0;3415.0;2059969.0
HZ3 - Activités de poste et de courrier;2009;2;2009-06-30;103.0;2.0;32.0;167.0;85872.0
JZ - Informatique, information et communication;2009;2;2009-06-30;4696.0;99.0;2417.0;9194.0;8044304.0
M5 - Autres activités scientifiques et techniques;2009;2;2009-06-30;3684.0;134.0;2050.0;6876.0;7286551.0
CZ2 - Métiers de bouche;2009;3;2009-09-30;1364.0;268.0;2059.0;4431.0;9745949.0
F3 - BTP travaux de finition;2009;3;2009-09-30;4601.0;239.0;5046.0;12943.0;22245875.0
G3 - Commerce de détail alimentaire hors métiers de bouche;2009;3;2009-09-30;264.0;52.0;387.0;820.0;2495653.0
HZ1 - Taxis - VTC;2009;3;2009-09-30;123.0;8.0;111.0;335.0;375268.0
HZ4 - Autres activités de transports et entreposage;2009;3;2009-09-30;234.0;28.0;203.0;555.0;705767.0
JZ - Informatique, information et communication;2009;3;2009-09-30;4491.0;241.0;4328.0;13444.0;13157320.0
M3 - Conseil pour les affaires et autres conseils de gestion;2009;3;2009-09-30;4465.0;301.0;4569.0;12862.0;23960757.0
PZ - Enseignement;2009;3;2009-09-30;4764.0;176.0;4373.0;11343.0;11270147.0
S1 - Réparations hors automobile;2009;3;2009-09-30;2320.0;136.0;3134.0;7006.0;6943218.0
CZ2 - Métiers de bouche;2009;4;2009-12-31;1598.0;398.0;2289.0;5631.0;8424727.0
F3 - BTP travaux de finition;2009;4;2009-12-31;5623.0;729.0;6897.0;17837.0;30274373.0
JZ - Informatique, information et communication;2009;4;2009-12-31;4920.0;725.0;6553.0;17639.0;21173152.0
S3 - Autres services personnels;2009;4;2009-12-31;4390.0;883.0;5851.0;14552.0;13082133.0
CZ1 - Industrie;2010;1;2010-03-31;6984.0;450.0;10342.0;20440.0;27862656.0
CZ2 - Métiers de bouche;2010;1;2010-03-31;2933.0;326.0;3571.0;8238.0;12019342.0
HZ3 - Activités de poste et de courrier;2010;1;2010-03-31;189.0;29.0;146.0;488.0;392655.0
HZ4 - Autres activités de transports et entreposage;2010;1;2010-03-31;352.0;47.0;347.0;1042.0;1053400.0
QZ - Santé;2010;1;2010-03-31;4256.0;232.0;7034.0;11859.0;14994018.0
F1 - BTP gros-oeuvre;2010;2;2010-06-30;4216.0;524.0;8603.0;21221.0;37844584.0
F3 - BTP travaux de finition;2010;2;2010-06-30;6373.0;826.0;13884.0;32847.0;63160349.0
G1 - Commerce-réparation d'automobiles;2010;2;2010-06-30;2221.0;421.0;3847.0;10147.0;17566971.0
S1 - Réparations hors automobile;2010;2;2010-06-30;2774.0;496.0;7524.0;16100.0;19218937.0
G4 - Commerce de détail non alimentaire (hors pharmacie);2010;3;2010-09-30;3104.0;1332.0;12979.0;27177.0;55793161.0
HZ3 - Activités de poste et de courrier;2010;3;2010-09-30;119.0;35.0;190.0;681.0;549630.0
LZ - Activités immobilières;2010;3;2010-09-30;929.0;261.0;2625.0;6307.0;14563035.0
M1 - Activités juridiques;2010;3;2010-09-30;69.0;18.0;662.0;956.0;3015033.0
QZ - Santé;2010;3;2010-09-30;2153.0;368.0;9428.0;15540.0;17947538.0
S3 - Autres services personnels;2010;3;2010-09-30;3566.0;1051.0;11885.0;26974.0;28050369.0
G1 - Commerce-réparation d'automobiles;2010;4;2010-12-31;1890.0;1072.0;4719.0;12155.0;21049119.0
G6 - Commerce de détail non spécialisé;2010;4;2010-12-31;4261.0;3017.0;11206.0;29385.0;40412145.0
KZ - Activités financières et d'assurance;2010;4;2010-12-31;529.0;406.0;1489.0;3421.0;6891499.0
